"CNTSTUID","ST097Q01TA","ST218Q03HA","ST218Q02HA","ST218Q06HA","ST218Q04HA","ST206Q04HA","ST206Q02HA","ST153Q03HA","ST176Q06IA","ST206Q01HA","ST176Q06IA_scaled","ST153Q03HA_scaled","Comm_valid_count","Communication_Score","Collab_valid_count","Collaboration_Score"
78408361,3,3,3,4,3,3,3,2,5,2,4,1,5,3.2,5,2.6
78408538,4,3,4,4,3,3,3,1,2,3,1.75,4,5,3.6,5,2.95
78409100,4,3,3,3,3,2,2,1,1,2,1,4,5,3.2,5,2.2
78409682,2,4,3,3,4,3,3,1,3,3,2.5,4,5,3.2,5,3.1
78410157,2,2,3,2,2,2,3,2,3,2,2.5,1,5,2.2,5,2.1
78410180,1,3,3,3,3,4,4,1,5,4,4,4,5,2.6,5,4
78410849,3,3,3,3,3,3,3,1,2,3,1.75,4,5,3,5,2.95
78410914,2,3,3,3,3,2,2,1,2,2,1.75,4,5,2.8,5,2.35
78412523,4,3,3,2,3,2,2,1,2,2,1.75,4,5,3,5,2.35
78413927,4,3,3,3,3,3,3,2,1,3,1,1,5,3.2,5,2.2
78414423,3,3,3,3,3,3,3,1,4,3,3.25,4,5,3,5,3.25
78414804,3,3,3,3,3,3,3,1,1,3,1,4,5,3,5,2.8
78416188,2,3,4,3,3,2,1,2,1,1,1,1,5,3,5,1.2
78416281,4,4,4,3,4,2,2,2,2,2,1.75,1,5,3.8,5,1.75
78416748,4,4,4,3,4,2,2,1,5,2,4,4,5,3.8,5,2.8
78417022,3,3,3,2,2,2,3,2,2,3,1.75,1,5,2.6,5,2.15
78417713,2,3,3,3,3,2,2,1,5,2,4,4,5,2.8,5,2.8
78418277,2,3,3,3,4,2,2,1,3,2,2.5,4,5,3,5,2.5
78419795,2,2,3,2,3,2,3,2,1,3,1,1,5,2.4,5,2
78420684,3,2,3,3,2,1,3,2,2,2,1.75,1,5,2.6,5,1.75
78420770,2,4,4,4,4,4,4,1,5,4,4,4,5,3.6,5,4
78400156,3,3,3,4,4,3,3,1,4,2,3.25,4,5,3.4,5,3.05
78401101,1,4,4,4,4,1,1,1,2,1,1.75,4,5,3.4,5,1.75
78401290,1,3,2,3,3,1,1,2,5,1,4,1,5,2.4,5,1.6
78401871,1,4,4,4,4,2,2,1,5,1,4,4,5,3.4,5,2.6
78402434,1,2,2,3,3,3,2,2,3,1,2.5,1,5,2.2,5,1.9
78404087,1,NA,2,4,2,4,3,1,NA,2,NA,4,4,2.25,4,3.25
78404162,4,2,2,2,2,2,2,2,5,2,4,1,5,2.4,5,2.2
78404554,1,4,4,4,4,4,4,2,1,4,1,1,5,3.4,5,2.8
78405225,1,3,2,2,2,3,3,1,3,3,2.5,4,5,2,5,3.1
78405405,3,2,3,2,3,2,2,1,2,2,1.75,4,5,2.6,5,2.35
78406684,2,4,3,4,4,3,1,1,5,1,4,4,5,3.4,5,2.6
78407722,4,3,3,3,3,3,3,1,5,3,4,4,5,3.2,5,3.4
78408052,4,3,4,4,4,3,3,2,5,3,4,1,5,3.8,5,2.8
78409888,1,2,3,3,3,2,2,1,2,2,1.75,4,5,2.4,5,2.35
78409971,3,3,3,3,3,3,3,1,5,3,4,4,5,3,5,3.4
78410133,1,2,1,1,2,1,3,2,3,3,2.5,1,5,1.4,5,2.1
78411674,1,3,3,3,3,1,1,1,5,1,4,4,5,2.6,5,2.2
78413082,4,3,4,4,4,4,4,1,5,4,4,4,5,3.8,5,4
78415087,3,3,3,3,3,4,3,1,3,2,2.5,4,5,3,5,3.1
78417158,3,2,4,NA,NA,1,3,1,3,2,2.5,4,3,3,5,2.5
78418444,1,3,2,2,4,NA,3,1,1,4,1,4,5,2.4,4,3
78419197,4,4,3,3,4,3,3,1,3,2,2.5,4,5,3.6,5,2.9
78420575,1,2,3,2,1,3,1,1,5,1,4,4,5,1.8,5,2.6
78400747,4,3,3,3,3,3,3,1,3,3,2.5,4,5,3.2,5,3.1
78401379,4,4,4,4,3,4,4,2,5,4,4,1,5,3.8,5,3.4
78401534,4,3,2,3,1,1,2,2,1,3,1,1,5,2.6,5,1.6
78402114,3,3,3,3,3,3,3,1,2,3,1.75,4,5,3,5,2.95
78402532,4,3,3,3,3,1,1,1,4,1,3.25,4,5,3.2,5,2.05
78405001,4,3,3,3,3,3,3,1,4,3,3.25,4,5,3.2,5,3.25
78405091,4,1,1,1,1,1,1,2,1,1,1,1,5,1.6,5,1
78406628,4,4,4,4,4,4,4,2,5,4,4,1,5,4,5,3.4
78406738,4,3,4,4,2,NA,4,1,3,4,2.5,4,5,3.4,4,3.625
78407288,4,3,3,3,3,3,3,1,NA,2,NA,4,5,3.2,4,3
78407969,2,2,1,4,3,1,2,2,4,1,3.25,1,5,2.4,5,1.65
78409642,4,4,4,4,4,4,4,1,2,4,1.75,4,5,4,5,3.55
78410346,1,3,3,3,3,3,3,1,4,3,3.25,4,5,2.6,5,3.25
78410999,3,3,3,3,2,3,3,1,4,2,3.25,4,5,2.8,5,3.05
78411995,4,3,3,3,3,3,3,2,4,2,3.25,1,5,3.2,5,2.45
78413049,4,3,3,3,3,3,3,1,5,3,4,4,5,3.2,5,3.4
78413087,4,3,3,2,3,3,3,2,3,2,2.5,1,5,3,5,2.3
78413260,4,3,2,3,3,4,3,1,4,3,3.25,4,5,3,5,3.45
78413784,4,4,4,4,4,4,2,1,4,2,3.25,4,5,4,5,3.05
78413964,1,1,1,1,1,1,1,2,1,1,1,1,5,1,5,1
78414460,4,4,4,4,4,2,2,1,2,2,1.75,4,5,4,5,2.35
78415232,2,NA,2,3,3,1,1,1,5,2,4,4,4,2.5,5,2.4
78416190,4,3,2,3,3,NA,2,1,5,2,4,4,5,3,4,3
78416266,4,4,4,4,4,4,4,1,5,4,4,4,5,4,5,4
78416378,3,1,2,1,NA,3,1,1,3,1,2.5,4,4,1.75,5,2.3
78417196,2,2,3,1,3,3,4,2,2,2,1.75,1,5,2.2,5,2.35
78417292,3,4,3,4,4,4,4,1,3,4,2.5,4,5,3.6,5,3.7
78419694,1,3,3,3,3,4,4,1,2,3,1.75,4,5,2.6,5,3.35
78419901,4,2,3,3,3,4,4,1,5,4,4,4,5,3,5,4
78420018,3,4,4,4,4,3,4,1,5,4,4,4,5,3.8,5,3.8
78420311,4,3,3,3,3,3,3,1,1,3,1,4,5,3.2,5,2.8
78419281,3,2,NA,2,2,2,2,NA,NA,1,NA,NA,4,2.25,3,1.66666666666667
78400010,4,4,4,4,4,4,4,1,4,4,3.25,4,5,4,5,3.85
78400107,4,4,4,4,4,4,4,2,2,4,1.75,1,5,4,5,2.95
78400627,4,3,3,3,3,3,3,2,4,3,3.25,1,5,3.2,5,2.65
78402079,4,4,3,3,4,4,4,1,4,4,3.25,4,5,3.6,5,3.85
78403568,4,3,3,4,4,4,4,1,5,4,4,4,5,3.6,5,4
78405183,3,3,3,2,3,4,4,2,5,4,4,1,5,2.8,5,3.4
78406003,4,4,4,4,4,4,4,1,5,4,4,4,5,4,5,4
78406207,4,1,1,1,1,4,4,1,5,4,4,4,5,1.6,5,4
78406587,4,3,3,3,3,3,3,1,5,3,4,4,5,3.2,5,3.4
78407551,4,3,2,4,3,2,2,1,2,2,1.75,4,5,3.2,5,2.35
78408375,3,3,3,3,3,1,1,1,1,1,1,4,5,3,5,1.6
78408884,4,4,3,4,4,3,3,1,3,3,2.5,4,5,3.8,5,3.1
78410428,4,4,4,4,4,4,4,1,2,4,1.75,4,5,4,5,3.55
78410550,4,4,4,4,4,4,4,1,5,4,4,4,5,4,5,4
78413105,4,4,3,4,4,4,4,1,4,4,3.25,4,5,3.8,5,3.85
78414708,4,4,4,4,4,4,4,1,5,4,4,4,5,4,5,4
78415591,4,3,3,3,3,4,4,1,4,4,3.25,4,5,3.2,5,3.85
78416311,4,4,3,3,3,1,2,1,2,1,1.75,4,5,3.4,5,1.95
78416335,4,4,4,4,4,4,4,1,4,4,3.25,4,5,4,5,3.85
78418065,4,3,3,4,4,3,3,1,5,3,4,4,5,3.6,5,3.4
78418171,4,4,4,4,4,4,4,1,5,4,4,4,5,4,5,4
78418718,4,4,4,4,4,4,4,1,5,4,4,4,5,4,5,4
78420420,4,4,3,4,4,4,4,1,1,4,1,4,5,3.8,5,3.4
78400016,1,3,NA,3,3,2,2,NA,4,2,3.25,NA,4,2.5,4,2.3125
78400126,2,3,4,3,4,1,1,1,2,1,1.75,4,5,3.2,5,1.75
78400726,2,2,2,2,2,3,3,1,2,3,1.75,4,5,2,5,2.95
78400872,3,3,3,3,3,4,4,1,2,4,1.75,4,5,3,5,3.55
78401422,4,4,4,4,NA,4,4,1,5,4,4,4,4,4,5,4
78401846,3,4,4,4,4,2,2,2,2,2,1.75,1,5,3.8,5,1.75
78404210,3,2,2,2,2,1,1,1,5,1,4,4,5,2.2,5,2.2
78404366,3,3,3,3,2,1,2,1,1,2,1,4,5,2.8,5,2
78404983,1,1,1,1,1,1,1,1,1,1,1,4,5,1,5,1.6
78407458,4,1,3,3,4,3,3,1,1,3,1,4,5,3,5,2.8
78409587,3,1,1,1,1,2,2,2,4,1,3.25,1,5,1.4,5,1.85
78410080,3,1,3,4,4,4,3,1,3,4,2.5,4,5,3,5,3.5
78413078,1,3,3,3,3,3,3,2,5,2,4,1,5,2.6,5,2.6
78413833,1,1,2,2,2,1,1,1,2,1,1.75,4,5,1.6,5,1.75
78414979,3,4,NA,3,3,3,3,2,4,3,3.25,1,4,3.25,5,2.65
78415216,2,3,3,3,3,1,1,2,2,1,1.75,1,5,2.8,5,1.15
78417430,3,1,1,1,1,1,1,1,2,1,1.75,4,5,1.4,5,1.75
78417642,4,3,3,3,3,4,4,1,5,4,4,4,5,3.2,5,4
78418491,NA,3,3,3,3,2,2,2,4,2,3.25,1,4,3,5,2.05
78418745,2,3,3,3,2,2,3,1,5,3,4,4,5,2.6,5,3.2
78418844,3,3,2,4,2,3,3,2,3,3,2.5,1,5,2.8,5,2.5
78400249,3,3,3,3,3,2,3,1,2,2,1.75,4,5,3,5,2.55
78400272,4,4,4,4,4,4,4,1,5,4,4,4,5,4,5,4
78401582,4,4,4,4,4,4,4,1,5,4,4,4,5,4,5,4
78402574,1,1,1,2,3,2,2,1,1,2,1,4,5,1.6,5,2.2
78403661,4,3,3,3,3,3,3,1,3,3,2.5,4,5,3.2,5,3.1
78403683,2,4,4,3,4,2,2,1,1,2,1,4,5,3.4,5,2.2
78403830,3,3,3,3,3,1,1,1,5,1,4,4,5,3,5,2.2
78404562,3,3,3,3,3,3,3,1,2,3,1.75,4,5,3,5,2.95
78405933,3,3,3,3,3,3,3,1,2,3,1.75,4,5,3,5,2.95
78406358,4,4,3,3,3,3,3,1,1,3,1,4,5,3.4,5,2.8
78406618,4,3,4,3,3,2,2,2,5,2,4,1,5,3.4,5,2.2
78407607,4,3,3,3,3,3,3,1,2,3,1.75,4,5,3.2,5,2.95
78407751,3,3,3,3,3,4,3,1,5,3,4,4,5,3,5,3.6
78408126,4,4,4,4,4,3,4,1,3,4,2.5,4,5,4,5,3.5
78408339,2,4,3,4,2,2,3,1,2,3,1.75,4,5,3,5,2.75
78410519,4,3,4,3,3,4,4,1,3,4,2.5,4,5,3.4,5,3.7
78410948,4,3,3,2,3,2,2,1,2,2,1.75,4,5,3,5,2.35
78410977,4,3,3,NA,3,4,4,2,3,4,2.5,1,4,3.25,5,3.1
78411494,2,NA,3,2,3,2,2,2,2,1,1.75,1,4,2.5,5,1.55
78412440,2,2,4,4,3,3,2,2,1,2,1,1,5,3,5,1.8
78413411,3,4,4,4,4,2,2,1,2,2,1.75,4,5,3.8,5,2.35
78414013,4,3,3,2,2,2,2,1,1,2,1,4,5,2.8,5,2.2
78414470,4,3,3,3,3,3,3,1,5,3,4,4,5,3.2,5,3.4
78414673,2,4,3,4,4,4,3,1,2,3,1.75,4,5,3.4,5,3.15
78414729,3,4,4,4,2,4,4,1,5,4,4,4,5,3.4,5,4
78415024,4,3,3,3,3,3,3,1,3,3,2.5,4,5,3.2,5,3.1
78415548,2,3,3,3,3,3,3,1,4,3,3.25,4,5,2.8,5,3.25
78417447,4,3,3,NA,4,4,4,1,2,4,1.75,4,4,3.5,5,3.55
78417450,4,4,4,4,4,4,4,2,2,4,1.75,1,5,4,5,2.95
78417497,2,3,3,3,3,1,1,1,5,1,4,4,5,2.8,5,2.2
78418178,3,3,4,4,3,4,4,1,2,4,1.75,4,5,3.4,5,3.55
78419431,4,3,3,2,3,4,4,1,1,2,1,4,5,3,5,3
78419579,4,4,4,4,4,4,2,1,2,2,1.75,4,5,4,5,2.75
78420268,4,2,2,3,2,3,3,2,2,3,1.75,1,5,2.6,5,2.35
78420285,1,3,2,3,2,3,3,1,4,3,3.25,4,5,2.2,5,3.25
78400318,4,4,3,3,4,4,3,1,4,3,3.25,4,5,3.6,5,3.45
78400641,1,4,4,4,4,4,4,1,3,4,2.5,4,5,3.4,5,3.7
78400645,3,4,4,4,4,3,3,2,5,3,4,1,5,3.8,5,2.8
78404990,4,4,4,4,4,4,4,1,5,4,4,4,5,4,5,4
78405116,4,4,4,4,4,2,2,2,2,1,1.75,1,5,4,5,1.55
78405340,2,3,3,3,3,3,3,1,5,3,4,4,5,2.8,5,3.4
78406562,3,3,3,3,3,1,2,2,2,3,1.75,1,5,3,5,1.75
78407076,2,3,3,3,3,3,3,2,2,3,1.75,1,5,2.8,5,2.35
78407954,4,3,3,2,4,2,3,2,2,2,1.75,1,5,3.2,5,1.95
78407977,3,3,3,4,4,3,4,1,2,3,1.75,4,5,3.4,5,3.15
78408713,1,1,1,2,2,2,2,1,4,2,3.25,4,5,1.4,5,2.65
78408872,3,3,3,3,2,4,3,1,4,2,3.25,4,5,2.8,5,3.25
78409697,3,3,3,3,3,3,3,1,4,3,3.25,4,5,3,5,3.25
78409806,2,3,4,4,3,2,2,1,5,2,4,4,5,3.2,5,2.8
78409945,3,4,4,3,3,4,3,1,5,3,4,4,5,3.4,5,3.6
78410012,3,3,3,3,3,2,2,1,2,2,1.75,4,5,3,5,2.35
78410698,3,3,3,3,3,3,3,1,3,3,2.5,4,5,3,5,3.1
78410827,1,4,4,2,4,4,2,1,3,1,2.5,4,5,3,5,2.7
78410942,4,4,3,3,3,3,3,1,3,3,2.5,4,5,3.4,5,3.1
78412279,4,3,3,3,3,2,2,1,5,2,4,4,5,3.2,5,2.8
78412960,4,3,2,3,4,2,3,1,3,2,2.5,4,5,3.2,5,2.7
78413076,3,3,3,2,3,2,3,1,2,2,1.75,4,5,2.8,5,2.55
78415120,3,4,4,4,3,1,2,1,3,2,2.5,4,5,3.6,5,2.3
78415339,4,2,2,2,1,4,4,1,4,4,3.25,4,5,2.2,5,3.85
78416322,4,3,3,3,3,4,4,2,2,4,1.75,1,5,3.2,5,2.95
78416716,3,1,4,4,2,4,4,2,3,4,2.5,1,5,2.8,5,3.1
78416893,3,3,3,3,3,3,3,1,3,3,2.5,4,5,3,5,3.1
78416996,3,3,3,3,3,3,3,1,2,2,1.75,4,5,3,5,2.75
78420880,4,3,4,4,4,4,4,2,2,4,1.75,1,5,3.8,5,2.95
78400004,4,4,3,4,3,2,2,1,4,2,3.25,4,5,3.6,5,2.65
78400908,3,3,3,3,3,2,2,1,1,2,1,4,5,3,5,2.2
78401204,3,4,3,3,4,3,3,1,4,2,3.25,4,5,3.4,5,3.05
78401976,4,3,3,2,2,1,1,1,5,1,4,4,5,2.8,5,2.2
78402000,4,3,3,2,3,2,2,1,4,2,3.25,4,5,3,5,2.65
78402404,2,4,3,4,3,3,4,1,4,4,3.25,4,5,3.2,5,3.65
78402421,3,2,1,3,2,2,2,1,5,2,4,4,5,2.2,5,2.8
78402832,4,3,3,3,3,2,2,1,3,2,2.5,4,5,3.2,5,2.5
78402849,3,3,3,3,3,2,2,1,5,2,4,4,5,3,5,2.8
78403042,3,4,4,4,4,3,3,1,2,3,1.75,4,5,3.8,5,2.95
78403366,4,3,3,4,4,3,3,1,2,3,1.75,4,5,3.6,5,2.95
78404267,4,3,4,3,3,2,3,1,5,2,4,4,5,3.4,5,3
78405494,3,3,3,3,3,2,2,1,4,2,3.25,4,5,3,5,2.65
78406057,4,3,3,3,3,2,2,1,4,2,3.25,4,5,3.2,5,2.65
78406644,4,4,4,3,4,4,3,1,2,3,1.75,4,5,3.8,5,3.15
78407415,3,3,3,3,3,2,2,1,5,1,4,4,5,3,5,2.6
78408051,3,2,3,2,3,1,1,1,3,1,2.5,4,5,2.6,5,1.9
78408717,4,1,2,1,1,3,3,1,1,3,1,4,5,1.8,5,2.8
78410598,4,4,4,4,3,4,4,1,5,4,4,4,5,3.8,5,4
78410655,4,3,3,3,3,2,2,1,4,2,3.25,4,5,3.2,5,2.65
78411055,3,1,1,1,1,2,2,2,5,1,4,1,5,1.4,5,2
78411411,4,4,4,3,4,1,1,1,4,2,3.25,4,5,3.8,5,2.25
78412369,4,3,3,4,NA,1,2,1,3,2,2.5,4,4,3.5,5,2.3
78413112,3,3,3,3,3,2,2,1,5,3,4,4,5,3,5,3
78413372,3,4,4,4,4,3,3,1,4,3,3.25,4,5,3.8,5,3.25
78414881,3,3,3,3,3,1,1,2,2,1,1.75,1,5,3,5,1.15
78415167,1,3,3,3,3,3,2,1,2,3,1.75,4,5,2.6,5,2.75
78416261,3,3,3,2,2,2,1,1,5,1,4,4,5,2.6,5,2.4
78419146,3,3,3,2,3,2,2,2,4,3,3.25,1,5,2.8,5,2.25
78419514,3,3,3,3,3,1,1,1,4,1,3.25,4,5,3,5,2.05
78419779,4,3,3,3,3,2,2,1,1,2,1,4,5,3.2,5,2.2
78420360,1,4,1,3,3,1,1,2,1,1,1,1,5,2.4,5,1
78420869,2,3,3,3,3,2,2,1,3,2,2.5,4,5,2.8,5,2.5
78406229,1,2,3,2,4,3,2,2,2,2,1.75,1,5,2.4,5,1.95
78408164,1,2,2,3,2,4,2,1,1,1,1,4,5,2,5,2.4
78409722,3,3,2,2,2,4,2,1,3,1,2.5,4,5,2.4,5,2.7
78409966,1,4,3,3,4,3,2,2,2,3,1.75,1,5,3,5,2.15
78412212,3,3,3,3,3,2,2,1,5,2,4,4,5,3,5,2.8
78418254,4,4,4,4,4,4,4,1,5,4,4,4,5,4,5,4
78420050,4,3,3,3,3,3,3,1,4,3,3.25,4,5,3.2,5,3.25
78420460,2,3,3,3,3,2,2,1,5,2,4,4,5,2.8,5,2.8
78400184,4,3,3,3,3,2,2,1,2,2,1.75,4,5,3.2,5,2.35
78400287,4,1,3,4,2,2,2,1,4,2,3.25,4,5,2.8,5,2.65
78404233,4,3,3,3,2,2,2,1,4,3,3.25,4,5,3,5,2.85
78408067,3,3,3,2,3,1,2,2,2,2,1.75,1,5,2.8,5,1.55
78413128,3,3,2,2,2,2,2,2,4,2,3.25,1,5,2.4,5,2.05
78417201,3,3,3,2,2,2,3,2,3,3,2.5,1,5,2.6,5,2.3
78418767,4,3,3,3,4,4,2,1,2,3,1.75,4,5,3.4,5,2.95
78419263,3,2,3,3,2,2,2,1,1,3,1,4,5,2.6,5,2.4
78400713,3,4,4,4,4,4,4,2,1,4,1,1,5,3.8,5,2.8
78401100,3,3,3,3,3,3,3,1,4,3,3.25,4,5,3,5,3.25
78401124,2,3,3,3,3,3,3,1,3,3,2.5,4,5,2.8,5,3.1
78401620,4,4,4,4,3,NA,3,1,4,3,3.25,4,5,3.8,4,3.3125
78401780,4,4,4,4,4,4,4,1,1,2,1,4,5,4,5,3
78401902,4,3,3,3,3,2,2,1,2,2,1.75,4,5,3.2,5,2.35
78402200,4,4,4,4,4,4,4,1,3,4,2.5,4,5,4,5,3.7
78402228,4,2,3,3,2,2,2,2,2,2,1.75,1,5,2.8,5,1.75
78402237,4,4,4,4,4,4,4,1,3,4,2.5,4,5,4,5,3.7
78402361,4,3,3,3,3,2,2,1,2,2,1.75,4,5,3.2,5,2.35
78402461,3,3,2,2,4,2,3,2,2,2,1.75,1,5,2.8,5,1.95
78402471,4,4,4,3,4,3,3,1,4,3,3.25,4,5,3.8,5,3.25
78402775,4,3,3,3,3,4,4,1,5,4,4,4,5,3.2,5,4
78403270,3,3,3,3,3,2,2,1,2,2,1.75,4,5,3,5,2.35
78403530,2,3,3,3,2,3,2,1,5,2,4,4,5,2.6,5,3
78403957,4,4,4,4,3,4,4,1,3,4,2.5,4,5,3.8,5,3.7
78404314,4,2,NA,1,3,4,4,1,2,4,1.75,4,4,2.5,5,3.55
78404652,4,4,4,4,4,4,4,1,5,3,4,4,5,4,5,3.8
78405801,4,4,4,4,4,4,3,2,5,2,4,1,5,4,5,2.8
78405999,3,4,3,3,3,3,3,1,2,2,1.75,4,5,3.2,5,2.75
78406632,2,3,3,3,3,3,3,1,3,3,2.5,4,5,2.8,5,3.1
78406677,4,3,3,3,3,2,2,1,2,2,1.75,4,5,3.2,5,2.35
78406932,4,4,3,4,4,4,4,1,2,4,1.75,4,5,3.8,5,3.55
